feature,importance
grid_position,0.35062042
driver_win_rate,0.05246303
driver_podium_rate,0.05031916
driver_best_position_5,0.04548498
constructor_avg_position,0.03482254
driver_podiums_10,0.033335477
driver_points_avg_10,0.030559914
constructor_points_avg,0.029614253
driver_top5_10,0.027944727
driver_position_std_5,0.027163418
driver_dnf_rate,0.026658598
driver_avg_position_10,0.025992146
constructor_podiums,0.025748128
recent_trend,0.025356485
driver_avg_position_5,0.024447225
circuit_best_position,0.024397152
circuit_avg_position,0.022934172
constructor_wins,0.022419568
driver_worst_position_5,0.021293078
circuit_races,0.020434747
consistency_score,0.020300401
round_number,0.020291334
driver_wins_10,0.01962577
circuit_wins,0.017773282
grid_position_squared,0.0
improving,0.0
season_progress,0.0
